
2023-01-07 19:04:37:	11.8 中国民主革命纲领的制定
2023-01-07 21:06:15:	1.[判断题] 中国抗战在1931年九一八事变后即已开始。
2023-01-07 21:06:23:	答案为:B
2023-01-07 21:06:28:	该小节已完成......
2023-01-07 21:06:30:	

2023-01-07 21:06:30:	19.1 中国共产党争取和平民主的斗争（一）
2023-01-07 21:06:41:	1.[单选题] 下列哪个东欧国家在二战后最先确立了社会主义政权？（）
2023-01-07 21:06:49:	答案为:A
2023-01-07 21:06:52:	2.[单选题] 抗战胜利后，国民党蒋介石政府愿意与中共进行和谈的原因不包括（）。
2023-01-07 21:07:01:	答案为:C
2023-01-07 21:07:04:	3.[单选题] 二战后，（）成为了世界资本主义头号强国。
2023-01-07 21:07:13:	答案为:D
2023-01-07 21:07:20:	该小节已保存......
2023-01-07 21:07:22:	

2023-01-07 21:07:22:	19.2 中国共产党争取和平民主的斗争（二）
2023-01-07 21:07:34:	1.[单选题] 抗战胜利后，中国社会的主要矛盾是（）。
2023-01-07 21:07:41:	答案为:B
2023-01-07 21:07:44:	2.[单选题] 抗战胜利后，中国的三股政治势力提出了三种建国方案，其中不包括（）。
2023-01-07 21:07:53:	答案为:C
2023-01-07 21:07:54:	3.[判断题] 国民党六大与中共七大都讨论了建国问题。
2023-01-07 21:08:02:	答案为:A
2023-01-07 21:08:07:	该小节已完成......
2023-01-07 21:08:14:	

2023-01-07 21:08:14:	19.3 中国共产党争取和平民主的斗争（三）
2023-01-07 21:08:25:	1.[单选题] 1945年8月，（）赴陪都代表中国共产党参加了国共谈判。
2023-01-07 21:08:33:	答案为:D
2023-01-07 21:08:36:	2.[单选题] 毛泽东等人于1945年8月28日赴（）与国民党当局进行谈判。
2023-01-07 21:08:45:	答案为:B
2023-01-07 21:08:46:	3.[判断题] 为了争取和平民主，毛泽东不顾个人安危，于8月28日赴陪都与国民党当局进行谈判。
2023-01-07 21:08:54:	答案为:A
2023-01-07 21:08:59:	该小节已完成......
2023-01-07 21:09:01:	

2023-01-07 21:09:01:	19.4 中国共产党争取和平民主的斗争（四）
2023-01-07 21:09:13:	1.[单选题] 1946年1月召开的政治协商会议决定成立（）为国家最高国务机关。
2023-01-07 21:09:21:	答案为:C
2023-01-07 21:09:24:	2.[单选题] 下面关于1946年1月政治协商会议的说法不正确的是（）。
2023-01-07 21:09:33:	答案为:D
2023-01-07 21:09:34:	3.[判断题] 共产党在重庆谈判、政协会议、南京谈判等活动中赢得了极大的政治优势。
2023-01-07 21:09:42:	答案为:A
2023-01-07 21:09:47:	该小节已完成......
2023-01-07 21:09:50:	

2023-01-07 21:09:50:	19.5 国民党发动内战和解放区军民的自卫战争
2023-01-07 21:09:59:	1.[单选题] 国民党军队攻打解放区由全面进攻转为重点进攻的时间点是（）。
2023-01-07 21:10:08:	答案为:C
2023-01-07 21:10:11:	2.[单选题] 蒋介石敢于发动内战的原因是（）。
2023-01-07 21:10:19:	答案为:D
2023-01-07 21:10:20:	3.[判断题] 毛泽东提出“一切反动派都是纸老虎”的依据是人民才是真正强大的力量。
2023-01-07 21:10:29:	答案为:A
2023-01-07 21:10:34:	该小节已完成......
2023-01-07 21:10:37:	

2023-01-07 21:10:37:	19.6 全国解放战争的胜利发展
2023-01-07 21:10:46:	1.[单选题] 1947年夏，（）率领的东北民主联军发动进攻，从根本上改变了东北的战局。
2023-01-07 21:10:54:	答案为:B
2023-01-07 21:10:58:	2.[单选题] 1947年6月，中共中央部署了三路军队实施战略进攻，这三路军队不包括（）。
2023-01-07 21:11:06:	答案为:C
2023-01-07 21:11:07:	3.[判断题] 1946年6月底，国民党军以进攻东北解放区为起点，挑起了全国性的内战。
2023-01-07 21:11:15:	答案为:B
2023-01-07 21:11:20:	该小节已完成......
2023-01-07 21:11:23:	

2023-01-07 21:11:23:	19.7 土地改革与农民的广泛发动
2023-01-07 21:11:32:	1.[单选题] 《中国土地法大纲》规定乡村中一切地主的土地及公地由（）接收。
2023-01-07 21:11:41:	答案为:A
2023-01-07 21:11:44:	2.[单选题] 1946年，中共中央发出的（）决定在农村实行耕者有其田的土地政策。
2023-01-07 21:11:53:	答案为:《五四指示》
2023-01-07 21:11:54:	3.[判断题] 解放战争时期的土地改革政策是解放战争取得胜利的有力保障。
2023-01-07 21:12:03:	答案为:A
2023-01-07 21:12:08:	该小节已完成......
2023-01-07 21:12:11:	

2023-01-07 21:12:11:	20.1 中国第三条道路破灭与多党合作、政治协商格局的形成(一)
2023-01-07 21:12:22:	1.[单选题] 九三学社于（）在重庆宣告正式成立。
2023-01-07 21:12:29:	答案为:1946年
2023-01-07 21:12:32:	2.[单选题] 下列对民主党派推行的第三条道路的描述不正确的一项是（）。
2023-01-07 21:12:41:	答案为:A
2023-01-07 21:12:42:	3.[判断题] 1941年3月，中国民主政团同盟在重庆诞生，李济深被推选为中央常务委员会主席。
2023-01-07 21:12:51:	答案为:B
2023-01-07 21:12:56:	该小节已完成......
2023-01-07 21:12:58:	

2023-01-07 21:12:58:	20.2 中国第三条道路破灭与多党合作、政治协商格局的形成（二）
2023-01-07 21:13:17:	1.[单选题] （）标志着民主党派的地位发生了根本变化。
2023-01-07 21:13:25:	答案为:民主党派能够参政
2023-01-07 21:13:29:	2.[单选题] 民主党派中的（）和（）选择了追随国民党。
2023-01-07 21:13:37:	答案为:青年党、民主党
2023-01-07 21:13:40:	3.[单选题] 民主党派提出的第三条道路受到了（）的反对。
2023-01-07 21:13:49:	答案为:以上都是
2023-01-07 21:13:54:	该小节已完成......
2023-01-07 21:13:57:	

2023-01-07 21:13:57:	20.3 国民党政权的覆灭与覆灭原因（一）
2023-01-07 21:14:06:	1.[单选题] 淮海战役中，解放军总前敌委员会书记是（）。
2023-01-07 21:14:14:	答案为:D
2023-01-07 21:14:18:	2.[单选题] 中国人民解放军在同国民党军队进行战略决战时，最先进行的是（）。
2023-01-07 21:14:26:	答案为:辽沈战役
2023-01-07 21:14:27:	3.[判断题] 北平在平津战役中得到和平解放。
2023-01-07 21:14:36:	答案为:A
2023-01-07 21:14:41:	该小节已完成......
2023-01-07 21:14:47:	

2023-01-07 21:14:47:	20.4 国民党政权的覆灭与覆灭原因（二）
2023-01-07 21:14:56:	1.[单选题] 南京被占领之后，国民党政府先后搬至（）和（）。
2023-01-07 21:15:05:	答案为:D
2023-01-07 21:15:08:	2.[单选题] （）宣告了国民党反动统治的覆灭。
2023-01-07 21:15:17:	答案为:人民解放军占领南京
2023-01-07 21:15:18:	3.[判断题] 解放战争时期国共两党的第一次和谈由国民党提出，第二次和谈由共产党提出。
2023-01-07 21:15:27:	答案为:B
2023-01-07 21:15:32:	该小节已完成......
2023-01-07 21:15:35:	

2023-01-07 21:15:35:	20.5 国民党政权的覆灭与覆灭原因（三）
2023-01-07 21:15:46:	1.[单选题] 国民党丢失政权是各因素综合作用的结果，其中不包括（）。
2023-01-07 21:15:53:	答案为:放弃军队的领导权
2023-01-07 21:15:57:	2.[单选题] 蒋介石对国民党在大陆失败的原因进行了分析，下列各项中，不在他的分析之中的是（）。
2023-01-07 21:16:05:	答案为:C
2023-01-07 21:16:06:	3.[判断题] 国民党内部的派系纷争一直被蒋介石严厉制止。
2023-01-07 21:16:15:	答案为:B
2023-01-07 21:16:20:	该小节已完成......
2023-01-07 21:16:23:	

2023-01-07 21:16:23:	20.6 国民党政权的覆灭与覆灭原因（四）
2023-01-07 21:16:32:	1.[单选题] 为挽救国民党的经济崩溃，（）进入上海开展“打虎”活动，遭到各种势力的强力反抗，结果铩羽而归。
2023-01-07 21:16:41:	答案为:蒋经国
2023-01-07 21:16:42:	2.[判断题] 国民党在军队管理、军事指挥、军民关系上都出现了严重混乱，导致人心涣散。
2023-01-07 21:16:50:	答案为:A
2023-01-07 21:16:56:	该小节已完成......
2023-01-07 21:16:58:	

2023-01-07 21:16:58:	20.7 新政协会议与中华人民共和国建立
2023-01-07 21:17:09:	1.[单选题] 1949年9月21日，中国人民政治协商会议第一届全体会议在北平中南海怀仁堂隆重开幕，会议通过了（）。
2023-01-07 21:17:17:	答案为:《中国人民政治协商会议共同纲领》
2023-01-07 21:17:20:	2.[单选题] 毛泽东在《论人民民主专政》中指出人民民主专政需要（）的领导。
2023-01-07 21:17:29:	答案为:C
2023-01-07 21:17:30:	3.[判断题] 1949年9月21日，中国人民政治协商会议第一届全体会议在北平中南海怀仁堂隆重开幕。
2023-01-07 21:17:39:	答案为:B
2023-01-07 21:17:44:	该小节已完成......
2023-01-07 21:17:47:	

2023-01-07 21:17:47:	20.8 中国革命胜利的原因和基本经验
2023-01-07 21:17:56:	1.[单选题] 中国共产党加强党的建设首先着重于（）。
2023-01-07 21:18:05:	答案为:B
2023-01-07 21:18:08:	2.[单选题] 毛泽东指出中共在中国革命中战胜敌人的三个法宝不包括（）。
2023-01-07 21:18:17:	答案为:D
2023-01-07 21:18:18:	3.[判断题] 中国共产党取得革命的胜利离不开国内外一切爱国人士的支持。
2023-01-07 21:18:26:	答案为:A
2023-01-07 21:18:31:	该小节已完成......
2023-01-07 21:18:34:	

2023-01-07 21:18:34:	21.1 中华人民共和国成立的伟大意义
2023-01-07 21:18:43:	1.[单选题] （）在参加人民政协第一次会议时送了一套《林文忠公政书》给毛泽东。
2023-01-07 21:18:52:	答案为:解析:
2023-01-07 21:18:58:	该单选题未完成.......
2023-01-07 21:19:00:	2.[单选题] （）标志着中国半殖民地半封建社会的结束。
2023-01-07 21:19:09:	答案为:A
2023-01-07 21:19:13:	3.[单选题] 从中华人民共和国成立到社会主义改造基本完成，是我国从（）到社会主义的过渡时期。
2023-01-07 21:19:21:	答案为:B
2023-01-07 21:19:24:	4.[判断题] 新中国的成立完全解决了国家富强的历史任务。
2023-01-07 21:19:33:	答案为:B
2023-01-07 21:19:34:	5.[判断题] 新中国的成立真正提高了中国的国际地位。
2023-01-07 21:19:42:	答案为:A
2023-01-07 21:19:50:	该小节已保存......
2023-01-07 21:19:51:	

2023-01-07 21:19:51:	21.2 新民主主义社会的性质
2023-01-07 21:20:00:	1.[单选题] 新民主主义社会经济包含了五种经济成分，其中不包括（）。
2023-01-07 21:20:08:	答案为:C
2023-01-07 21:20:12:	2.[单选题] 下面关于新民主主义社会的说法不正确的一项是（）。
2023-01-07 21:20:20:	答案为:B
2023-01-07 21:20:24:	3.[单选题] 土地改革完成之后，我国新民主主义社会的主要矛盾是（）。
2023-01-07 21:20:31:	答案为:工人阶级和资产阶级、社会主义和帝国主义之间的矛盾
2023-01-07 21:20:35:	4.[判断题] 新民主主义社会的经济体系体现了社会主义经济的性质。
2023-01-07 21:20:43:	答案为:A
2023-01-07 21:20:44:	5.[判断题] 新民主主义社会的理论最早是在中国人民政协第一次全体会议上提出的。
2023-01-07 21:20:53:	答案为:B
2023-01-07 21:20:58:	该小节已完成......
2023-01-07 21:21:00:	

2023-01-07 21:21:00:	21.3 开始向社会主义过渡（一）
2023-01-07 21:21:11:	1.[单选题] 新中国成立时需要完成的民主革命的遗留任务不包括（）。
2023-01-07 21:21:19:	答案为:统一全国财经工作
2023-01-07 21:21:23:	2.[单选题] 据联合国的统计，1949年中华人民共和国成立时，中国人均国民收入为（），远低于亚洲人均国民收入。
2023-01-07 21:21:31:	答案为:B
2023-01-07 21:21:35:	3.[单选题] 新中国成立之初，美国对中国推行霸权主义，把（）建成反共反社会主义的前沿阵地。
2023-01-07 21:21:43:	答案为:C
2023-01-07 21:21:46:	4.[判断题] 新中国成立后，长期危害人民生命财产安全的200多万土匪，仅在两年多的时间内就被次第肃清。
2023-01-07 21:21:55:	答案为:A
2023-01-07 21:21:56:	5.[判断题] 新中国成立后的土地制度改革，先后使3亿多无地少地的农民无偿地获得了约7亿亩土地和大量其他生产资料，占中国绝大多数人口的农民群众获得了翻身解放。
2023-01-07 21:22:05:	答案为:A
2023-01-07 21:22:10:	该小节已完成......
2023-01-07 21:22:12:	

2023-01-07 21:22:12:	21.4 开始向社会主义过渡（二）
2023-01-07 21:22:23:	1.[单选题] 新中国成立后镇压反革命势在必行，原因不包括（）。
2023-01-07 21:22:32:	答案为:D
2023-01-07 21:22:35:	2.[单选题] 毛泽东在七届三中全会上提出要创造三个条件以促进国民经济的恢复，其中不包括（）。
2023-01-07 21:22:43:	答案为:A
2023-01-07 21:22:47:	3.[单选题] 毛泽东为在长春制造的中国第一辆载重汽车起名为（）。
2023-01-07 21:22:55:	答案为:C
2023-01-07 21:22:57:	4.[判断题] 镇压反革命运动不仅沉重打击了反革命分子，而且使得社会治安大大提高。
2023-01-07 21:23:05:	答案为:A
2023-01-07 21:23:10:	该小节已完成......
2023-01-07 21:23:18:	

2023-01-07 21:23:18:	21.5 开始向社会主义过渡（三）
2023-01-07 21:23:29:	1.[单选题] 银元之战发生在（）。
2023-01-07 21:23:37:	答案为:C
2023-01-07 21:23:40:	2.[单选题] （）从根本上改变了旧中国外交的屈辱状况。
2023-01-07 21:23:49:	答案为:废除帝国主义在中国的特权
2023-01-07 21:23:52:	3.[单选题] 新中国成立后，为了稳定物价，中央政府组织了“两白一黑”的集中调运，“两白一黑”指的是（）。
2023-01-07 21:24:01:	答案为:粮食、棉纱、煤炭
2023-01-07 21:24:02:	4.[判断题] 苏联是第一个与新中国建交的国家。
2023-01-07 21:24:11:	答案为:B
2023-01-07 21:24:16:	该小节已完成......
2023-01-07 21:24:18:	

2023-01-07 21:24:18:	21.6 开始向社会主义过渡（四）
2023-01-07 21:24:30:	1.[单选题] 下面关于抗美援朝的表述不正确的一项是（）。
2023-01-07 21:24:37:	答案为:C
2023-01-07 21:24:40:	2.[单选题] 中国人民志愿军抗美援朝赴朝作战的时间是（）。
2023-01-07 21:24:49:	答案为:解析:
2023-01-07 21:24:55:	该单选题未完成.......
2023-01-07 21:24:55:	3.[判断题] 抗美援朝是新中国领导人正确分析了形势后作出的决定，扼杀了美国侵略亚洲的意图。
2023-01-07 21:25:04:	答案为:A
2023-01-07 21:25:11:	该小节已保存......
2023-01-07 21:25:13:	

2023-01-07 21:25:13:	21.7 开始向社会主义过渡（五）
2023-01-07 21:25:23:	1.[单选题] 1950年，中共中央开展整风运动，着力克服上级机关的（）。
2023-01-07 21:25:32:	答案为:B
2023-01-07 21:25:35:	2.[单选题] 在整党运动期间，为了全力进行抗美援朝，毛泽东提出（）的中心任务。
2023-01-07 21:25:43:	答案为:C
2023-01-07 21:25:46:	3.[单选题] 在向社会主义过渡的过程中，（）奠定了社会主义国营经济的物质技术基础。
2023-01-07 21:25:55:	答案为:A
2023-01-07 21:25:57:	4.[判断题] 没收官僚资本，具有两重性质：从反对外国帝国主义的附庸——中国的买办资产阶级——的意义上看，它具有民主革命的性质。
2023-01-07 21:26:06:	答案为:A
2023-01-07 21:26:12:	该小节已完成......
2023-01-07 21:26:14:	

2023-01-07 21:26:14:	22.1 工业化的任务和发展道路（一）
2023-01-07 21:26:26:	1.[单选题] （）为当代中国一切发展进步奠定了根本政治前提和制度基础。
2023-01-07 21:26:34:	答案为:A
2023-01-07 21:26:38:	2.[单选题] 十六世纪英国产业革命以来，世界各国工业发展道路各不相同，大体上有三种模式，其中不包括（）。
2023-01-07 21:26:45:	答案为:D
2023-01-07 21:26:47:	3.[判断题] 从1953年开始的发展国民经济的第一个五年计划，把优先发展轻工业作为建设的中心环节。
2023-01-07 21:26:55:	答案为:B
2023-01-07 21:27:00:	该小节已完成......
2023-01-07 21:27:02:	

2023-01-07 21:27:02:	22.2 工业化的任务和发展道路（二）
2023-01-07 21:27:12:	1.[单选题] 毛泽东创造性地阐述社会主义社会矛盾学说的讲话是（）。
2023-01-07 21:27:19:	答案为:《关于正确处理人民内部矛盾的问题》
2023-01-07 21:27:22:	2.[单选题] 新中国建国初期，我国实现工业化最大的困难是（）。
2023-01-07 21:27:31:	答案为:C
2023-01-07 21:27:32:	3.[判断题] “一五”计划中，钢铁建设的中心是宝钢建设，国家提出了“支援宝钢”的号召。
2023-01-07 21:27:41:	答案为:B
2023-01-07 21:27:46:	该小节已完成......
2023-01-07 21:27:48:	

2023-01-07 21:27:48:	22.3 过渡时期总路线反映了历史的必然性(一)
2023-01-07 21:28:00:	1.[单选题] 过渡时期总路线对新民主主义社会的构想做了许多改变，其中不包括（）。
2023-01-07 21:28:08:	答案为:D
2023-01-07 21:28:11:	2.[单选题] 下列选项中，不属于过渡时期总路线内容的是（）。
2023-01-07 21:28:19:	答案为:D
2023-01-07 21:28:21:	3.[判断题] 1954年，第一届全国人大用法律的形式，将过渡时期的总路线载入了《中华人民共和国宪法》。
2023-01-07 21:28:29:	答案为:A
2023-01-07 21:28:34:	该小节已完成......
2023-01-07 21:28:36:	

2023-01-07 21:28:36:	22.4 过渡时期总路线反映了历史的必然性(二)
2023-01-07 21:28:46:	1.[单选题] 我国第一个五年计划的基本任务是（）。
2023-01-07 21:28:55:	答案为:C
2023-01-07 21:28:58:	2.[单选题] 实现社会主义工业化必须首先发展（）。
2023-01-07 21:29:06:	答案为:B
2023-01-07 21:29:07:	3.[判断题] 过渡时期总路线反映了中国由新民主主义社会向社会主义转变的历史必然性。
2023-01-07 21:29:16:	答案为:A
2023-01-07 21:29:21:	该小节已完成......
2023-01-07 21:29:23:	

2023-01-07 21:29:23:	22.5 农业合作化运动的发展
2023-01-07 21:29:34:	1.[单选题] 关于农业合作化，下列说法错误的是（）。
2023-01-07 21:29:43:	答案为:D
2023-01-07 21:29:47:	2.[单选题] 中国共产党搞合作化的最初动因不包括（）。
2023-01-07 21:29:56:	答案为:D
2023-01-07 21:29:57:	3.[判断题] 土地改革以后，农业生产摆脱了封建生产关系的束缚，一个时期有过相当大的发展；但是，由于实行在土地私有基础上的个体经营，这种发展又受到很大的限制。
2023-01-07 21:30:05:	答案为:A
2023-01-07 21:30:11:	该小节已完成......
2023-01-07 21:30:12:	

2023-01-07 21:30:12:	22.6 对资本主义工商业赎买政策的实施（一）
2023-01-07 21:30:30:	1.[单选题] 关于国家资本主义的初级形式，下列选项错误的是（）。
2023-01-07 21:30:38:	答案为:D
2023-01-07 21:30:39:	2.[判断题] 从1949年七届二中全会提出的利用、限制资本主义的方针到1953年政治局会议提出的利用、限制和改造，这是中国共产党对资本主义工商业社会主义改造在指导思想上的飞跃。
2023-01-07 21:30:47:	答案为:A
2023-01-07 21:30:52:	该小节已完成......
2023-01-07 22:46:41:	

2023-01-07 22:46:41:	22.7 对资本主义工商业赎买政策的实施（二）
2023-01-07 22:46:52:	1.[单选题] 对资本主义工商业改造的基本经验，下列选项错误的是（）。
2023-01-07 22:47:02:	答案为:C
2023-01-07 22:47:05:	2.[判断题] 1955年，毛泽东在中南海召开第一次工商界改造问题座谈会。
2023-01-07 22:47:14:	答案为:A
2023-01-07 22:47:15:	3.[判断题] 三大改造的完成标志着社会主义经济制度在中国确立。
2023-01-07 22:47:24:	答案为:A
2023-01-07 22:47:29:	该小节已完成......
2023-01-07 22:47:31:	

2023-01-07 22:47:31:	22.8 社会主义基本制度在中国的全面确立
2023-01-07 22:47:40:	1.[单选题] 关于社会主义制度建立的意义，下列选项错误的是（）。
2023-01-07 22:47:49:	答案为:D
2023-01-07 22:47:53:	2.[单选题] 我国的根本政治制度是（）。
2023-01-07 22:48:01:	答案为:民族区域自治制度
2023-01-07 22:48:08:	该单选题未完成.......
2023-01-07 22:48:08:	3.[判断题] 人民代表大会制度确立于1954年第一届人民代表大会。
2023-01-07 22:48:16:	答案为:A
2023-01-07 22:48:24:	该小节已保存......
2023-01-07 22:48:25:	

2023-01-07 22:48:25:	23.1 “第二次结合”思想的提出（一）
2023-01-07 22:48:36:	1.[单选题] 中国社会主义建设的历史前提不包括（）。
2023-01-07 22:48:44:	答案为:['中国的社会主义建设是在20世纪下半叶的历史条件下开始的', '遇到了极为不利的国际环境\n']
2023-01-07 22:48:47:	2.[单选题] 苏联于（）宣布启动第四个五年计划。
2023-01-07 22:48:55:	答案为:D
2023-01-07 22:48:59:	3.[判断题] 20世纪50年代，社会主义国家形成拥有世界三分之一人口和四分之一土地的社会主义阵营。
2023-01-07 22:49:07:	答案为:A
2023-01-07 22:49:08:	4.[判断题] 苏联建设社会主义的模式基本适应新中国在工业化初期着重发展轻工业的需要。
2023-01-07 22:49:16:	答案为:B
2023-01-07 22:49:23:	该小节已保存......
2023-01-07 22:49:24:	

2023-01-07 22:49:24:	23.2 “第二次结合”思想的提出（二）
2023-01-07 22:49:30:	

2023-01-07 22:49:30:	23.3 早期探索的积极进展（一）
2023-01-07 22:49:39:	1.[单选题] 《论十大关系》中没有提到的是（）。
2023-01-07 22:49:47:	答案为:C
2023-01-07 22:49:50:	2.[单选题] 1956年1月公布的《1956年-1967年全国农业发展纲要》中提出，（）是国民经济的基础。
2023-01-07 22:49:58:	答案为:D
2023-01-07 22:50:02:	3.[单选题] 1956年1月20日，毛泽东在中共中央召开的知识分子问题会议上号召“向现代科学进军”。
2023-01-07 22:50:11:	答案为:A
2023-01-07 22:50:12:	4.[判断题] 中国农村在1955年下半年出现了农业合作化的高潮。
2023-01-07 22:50:20:	答案为:A
2023-01-07 22:50:25:	该小节已完成......
2023-01-07 22:50:27:	

2023-01-07 22:50:27:	23.4 早期探索的积极进展（二）
2023-01-07 22:50:38:	1.[单选题] 在中共八大上，代表中央委员会做政治报告的是（）。
2023-01-07 22:50:47:	答案为:刘少奇
2023-01-07 22:50:51:	2.[单选题] （）指出，中国共产党已经是执政党，面临新的考验，需要反对主观主义、官僚主义、宗派主义、个人崇拜、任何特权。
2023-01-07 22:50:58:	答案为:中共八大
2023-01-07 22:51:02:	3.[单选题] 中共八大的主要内容不包括（）。
2023-01-07 22:51:10:	答案为:B
2023-01-07 22:51:11:	4.[判断题] 中共八大提出，当时中国社会的主要矛盾是人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要状况之间的矛盾。
2023-01-07 22:51:19:	答案为:A
2023-01-07 22:51:24:	该小节已完成......
2023-01-07 22:51:27:	

2023-01-07 22:51:27:	23.5 早期探索的积极进展（三）
2023-01-07 22:51:37:	1.[单选题] 毛泽东认为，斯大林和苏共二十大的错误在于混淆（）。
2023-01-07 22:51:46:	答案为:D
2023-01-07 22:51:49:	2.[单选题] 1957年2月27日，毛泽东在最高国务会议上发表了（）的重要讲话。
2023-01-07 23:00:31:	

2023-01-07 23:00:31:	23.5 早期探索的积极进展（三）
2023-01-07 23:00:40:	1.[单选题] 毛泽东认为，斯大林和苏共二十大的错误在于混淆（）。
2023-01-07 23:02:08:	

2023-01-07 23:02:08:	23.5 早期探索的积极进展（三）
2023-01-07 23:02:18:	1.[单选题] 毛泽东认为，斯大林和苏共二十大的错误在于混淆（）。
2023-01-07 23:06:29:	

2023-01-07 23:06:29:	23.5 早期探索的积极进展（三）
2023-01-07 23:06:39:	1.[单选题] 毛泽东认为，斯大林和苏共二十大的错误在于混淆（）。
2023-01-07 23:08:11:	

2023-01-07 23:08:11:	23.5 早期探索的积极进展（三）
2023-01-07 23:08:33:	

2023-01-07 23:08:33:	23.5 早期探索的积极进展（三）
2023-01-07 23:08:43:	1.[单选题] 毛泽东认为，斯大林和苏共二十大的错误在于混淆（）。
2023-01-07 23:08:52:	答案为:D
2023-01-07 23:08:56:	2.[单选题] 1957年2月27日，毛泽东在最高国务会议上发表了（）的重要讲话。
2023-01-07 23:09:05:	答案为:C
2023-01-07 23:09:08:	3.[判断题] 1957年2月，毛泽东在扩大的最高国务会议第十一次（扩大）会议上作了《如何处理人民内部的矛盾》的讲话。
2023-01-07 23:09:18:	答案为:A
2023-01-07 23:09:19:	4.[判断题] 波匈事件之后，中共认为现在摆在世界各执政的共产党面前的大问题是如何把十月革命的普遍真理与本国的具体实际结合。
2023-01-07 23:09:28:	答案为:A
2023-01-07 23:09:33:	该小节已完成......
2023-01-07 23:09:36:	

2023-01-07 23:09:36:	24.1 整风运动和反右派斗争
2023-01-07 23:09:46:	1.[单选题] 1957年整风运动的目的不包括造成（）的政治局面。
2023-01-07 23:09:54:	答案为:为了纪律牺牲自由
2023-01-07 23:09:58:	2.[单选题] 1957年整风运动采取的整风形式是（）。
2023-01-07 23:10:06:	答案为:“开门整风”
2023-01-07 23:10:09:	3.[单选题] 毛泽东于（）对整风运动的任务、方针和必要性做出具体阐述。
2023-01-07 23:10:18:	答案为:B
2023-01-07 23:10:19:	4.[判断题] 1957年6月8日，毛泽东在《关于组织力量准备反击右派分子的猖狂进攻》中强调阶级斗争形势的严重性。
2023-01-07 23:10:28:	答案为:B
2023-01-07 23:10:33:	该小节已完成......
2023-01-07 23:10:36:	

2023-01-07 23:10:36:	24.2 “大跃进”及其纠正（一）
2023-01-07 23:10:46:	1.[单选题] 社会主义建设总路线通过于（）。
2023-01-07 23:10:55:	答案为:B
2023-01-07 23:10:59:	2.[判断题] 1958年1月的贵阳会议和1958年3月的成都会议都错误地改变了八大确认的既反保守又反冒进的方针。
2023-01-07 23:11:08:	答案为:B
2023-01-07 23:11:09:	3.[判断题] 受大炼钢铁的影响，1958年秋天出现了丰产不丰收的现象。
2023-01-07 23:11:18:	答案为:B
2023-01-07 23:11:23:	该小节已完成......
2023-01-07 23:11:26:	

2023-01-07 23:11:26:	24.3 “大跃进”及其纠正（二）
2023-01-07 23:11:36:	1.[单选题] 1958年底参与大炼钢铁的人数达到了（）。
2023-01-07 23:11:45:	答案为:D
2023-01-07 23:11:48:	2.[单选题] 办高级农业生产合作社，将小社合并为大社，是因为党中央认为这样有利于（）。
2023-01-07 23:11:56:	答案为:B
2023-01-07 23:11:57:	3.[判断题] 1958年8月通过的《关于在农村建立人民公社问题的决议》将人民公社化运动推向了高潮。
2023-01-07 23:12:06:	答案为:A
2023-01-07 23:12:11:	该小节已完成......
2023-01-07 23:12:13:	

2023-01-07 23:12:13:	24.4 “大跃进”及其纠正（三）
2023-01-07 23:12:25:	1.[单选题] （）是“大跃进”和人民公社化运动的积极倡导者和推动者，又是中共中央领导集体中较早地觉察并实际纠正“左”倾错误的领导人。
2023-01-07 23:12:34:	答案为:A
2023-01-07 23:12:38:	2.[单选题] 1959年庐山会议上，毛泽东指出，国内总的形势是成绩很大，问题不少，前途光明；根本问题是（）。
2023-01-07 23:12:46:	答案为:C
2023-01-07 23:12:50:	3.[单选题] 在武汉召开的（）上，通过了《关于农民公社问题若干的决议》，批评了急于向全民所有制和共产主义过渡，企图过早取消商品生产和商品交换的错误倾向。
2023-01-07 23:12:58:	答案为:八届六中全会
2023-01-07 23:12:59:	4.[判断题] 中共八届九中全会决定对国民经济实行调整，毛泽东对前几年工作中的缺点和错误承担了责任，做了自我批评。
2023-01-07 23:13:08:	答案为:B
2023-01-07 23:13:13:	该小节已完成......
2023-01-07 23:13:15:	

2023-01-07 23:13:15:	24.5 “文化大革命”的发动
2023-01-07 23:13:32:	1.[单选题] “文化大革命”发生于（）年。
2023-01-07 23:13:40:	答案为:1966—1976
2023-01-07 23:13:41:	2.[判断题] “文化大革命”的主要论点既不符合马克思列宁主义，也不符合中国实际。
2023-01-07 23:13:50:	答案为:B
2023-01-07 23:13:55:	该小节已完成......
2023-01-07 23:13:57:	

2023-01-07 23:13:57:	24.6 “文化大革命”的十年
2023-01-07 23:14:09:	1.[单选题] “文化大革命”全面发动的标志是（）和八届十一中全会的召开。
2023-01-07 23:14:16:	答案为:中央政治局扩大会议
2023-01-07 23:14:18:	2.[判断题] 毛泽东逝世后，中央政治局粉碎江青反革命集团，结束了文化大革命。
2023-01-07 23:15:02:	

2023-01-07 23:15:02:	24.6 “文化大革命”的十年
2023-01-07 23:15:12:	1.[单选题] “文化大革命”全面发动的标志是（）和八届十一中全会的召开。
2023-01-07 23:15:28:	答案为:中央政治局扩大会议
